model,technique,shot,cap,aspect,n,mean_latency_s,precision,recall,f1,rouge1_model,rouge2_model,rougeL_model,rouge1_oracle,rouge2_oracle,rougeL_oracle,oracle_gap_rougeL
gemma4_12b,chain_of_thought,one_shot,capped,approach,100,45.51638790111,0.6846666666666666,0.6637171717171717,0.6519708232943521,0.2219341490952273,0.1197216816041546,0.17665138151607868,0.4897748197527478,0.29325174859619874,0.4461784208338833,0.26952703931780464
gemma4_12b,chain_of_thought,one_shot,capped,challenge,100,45.51638790111,0.5308333333333333,0.49286111111111097,0.47626850926850905,0.23653750599524326,0.09167761065471346,0.17306389164609506,0.4220026765441394,0.226199582941474,0.37142590290099414,0.19836201125489908
gemma4_12b,chain_of_thought,one_shot,capped,outcome,100,45.51638790111,0.7516666666666668,0.6599300144300143,0.6773473748473744,0.28688317952344117,0.14137246185548905,0.22284906546922706,0.49672704879223367,0.26550581130613354,0.4284715699350929,0.2056225044658656
gemma4_12b,chain_of_thought,one_shot,capped,union,100,45.51638790111,0.6948809801309801,0.6088364734456404,0.6390520158676319,0.2824363648139243,0.12932908057433581,0.1784183220421703,0.4572351445534136,0.22956935690972696,0.3556033739881162,0.17718505194594608
gemma4_12b,chain_of_thought,one_shot,uncapped,approach,100,45.9423745494898,0.6068103012361322,0.7867911255411254,0.6552965468897934,0.1821044102486313,0.100713031795098,0.14846026072917373,0.4897748197527478,0.29325174859619874,0.4461784208338833,0.2977181601047095
gemma4_12b,chain_of_thought,one_shot,uncapped,challenge,100,45.9423745494898,0.4782579365079364,0.5987777777777777,0.487142378862967,0.20703723021957457,0.08346962672623727,0.15338448680065944,0.4220026765441394,0.226199582941474,0.37142590290099414,0.21804141610033476
gemma4_12b,chain_of_thought,one_shot,uncapped,outcome,100,45.9423745494898,0.7098086080586079,0.7897849927849927,0.7192497743802087,0.25863766153922624,0.12942031667983844,0.20275880234354776,0.49672704879223367,0.26550581130613354,0.4284715699350929,0.22571276759154507
gemma4_12b,chain_of_thought,one_shot,uncapped,union,100,45.9423745494898,0.6165622715575914,0.7564591305555092,0.6640814639043107,0.23435286471132535,0.10792822412655821,0.15134612163738373,0.4572351445534136,0.22956935690972696,0.3556033739881162,0.2042572523507326
gemma4_12b,chain_of_thought,zero_shot,capped,approach,100,41.42042290433006,0.6465,0.6611850649350649,0.6303745780363422,0.2116208384917567,0.11115519462863395,0.16844990911016292,0.4897748197527478,0.29325174859619874,0.4461784208338833,0.2777285117237205
gemma4_12b,chain_of_thought,zero_shot,capped,challenge,100,41.42042290433006,0.5433333333333333,0.5306706349206348,0.5050845265845264,0.24087726001696916,0.09564903955453014,0.1774366599528576,0.4220026765441394,0.226199582941474,0.37142590290099414,0.19398924294813655
gemma4_12b,chain_of_thought,zero_shot,capped,outcome,100,41.42042290433006,0.7158333333333333,0.6566998556998556,0.6621501831501827,0.2772047242240096,0.13539128467862394,0.21475980768612501,0.49672704879223367,0.26550581130613354,0.4284715699350929,0.2137117622489677
gemma4_12b,chain_of_thought,zero_shot,capped,union,100,41.42042290433006,0.6662810522810523,0.6103298216007531,0.6269148112669253,0.2769327306159993,0.12594020726137076,0.17512001097615762,0.4572351445534136,0.22956935690972696,0.3556033739881162,0.18048336301195872
gemma4_12b,chain_of_thought,zero_shot,uncapped,approach,100,51.33668385997001,0.5388765645904505,0.8531388888888888,0.626891533152925,0.16126923248397265,0.08930672098015444,0.13154894987150284,0.4897748197527478,0.29325174859619874,0.4461784208338833,0.3146294709623805
gemma4_12b,chain_of_thought,zero_shot,uncapped,challenge,100,51.33668385997001,0.46772697563874027,0.6067222222222223,0.4831046322098953,0.20676756981420752,0.0833722383227101,0.15247427532221292,0.4220026765441394,0.226199582941474,0.37142590290099414,0.21895162757878125
gemma4_12b,chain_of_thought,zero_shot,uncapped,outcome,100,51.33668385997001,0.6794752747252747,0.8266421356421355,0.7165533256620883,0.24873898369766867,0.12618041217876644,0.19746462664935915,0.49672704879223367,0.26550581130613354,0.4284715699350929,0.23100694328573368
gemma4_12b,chain_of_thought,zero_shot,uncapped,union,100,51.33668385997001,0.5684111986108915,0.8060824966115377,0.6526993215323098,0.20931839093030613,0.09926797955884308,0.13780125172648888,0.4572351445534136,0.22956935690972696,0.3556033739881162,0.21780212226162743
gemma4_12b,chain_of_thought_trace,one_shot,uncapped,approach,100,51.16057348136019,0.5755267379679144,0.8309613997113996,0.6505249232894202,0.1732516544033418,0.09617320182830731,0.14100733039358546,0.4897748197527478,0.29325174859619874,0.4461784208338833,0.3051710904402979
gemma4_12b,chain_of_thought_trace,one_shot,uncapped,challenge,100,51.16057348136019,0.4741457431457431,0.5825555555555556,0.4799177913589678,0.20263179623032804,0.08371957598063551,0.14963726392938512,0.4220026765441394,0.226199582941474,0.37142590290099414,0.22178863897160914
gemma4_12b,chain_of_thought_trace,one_shot,uncapped,outcome,100,51.16057348136019,0.5954394216894218,0.822995670995671,0.6614055192201643,0.2228363507250376,0.11497885785221533,0.1762826095111972,0.49672704879223367,0.26550581130613354,0.4284715699350929,0.2521889604238956
gemma4_12b,chain_of_thought_trace,one_shot,uncapped,union,100,51.16057348136019,0.5859194531368094,0.7807103948552154,0.6523387490314145,0.2168453015063828,0.10182440950052579,0.1419266746611646,0.4572351445534136,0.22956935690972696,0.3556033739881162,0.21367669932695182
gemma4_e2b,chain_of_thought,one_shot,capped,approach,100,3.6100344123959074,0.6781666666666668,0.5736926406926407,0.5955046620046617,0.2453936396057655,0.12668656496268402,0.19547176299267321,0.4897748197527478,0.29325174859619874,0.4461784208338833,0.25070665784121
gemma4_e2b,chain_of_thought,one_shot,capped,challenge,100,3.6100344123959074,0.49083333333333323,0.3874761904761905,0.4038155178155176,0.24018444651820223,0.08989719608322513,0.17579967194027998,0.4220026765441394,0.226199582941474,0.37142590290099414,0.19562623096071416
gemma4_e2b,chain_of_thought,one_shot,capped,outcome,100,3.6100344123959074,0.6591666666666667,0.5106558441558441,0.5464855144855142,0.27592978055430906,0.12316683576108792,0.21040100739725545,0.49672704879223367,0.26550581130613354,0.4284715699350929,0.21807056253783746
gemma4_e2b,chain_of_thought,one_shot,capped,union,100,3.6100344123959074,0.7230180652680651,0.5281222106720996,0.599622555334313,0.3157976474719009,0.13812381709693278,0.19763757342730767,0.4572351445534136,0.22956935690972696,0.3556033739881162,0.15796580056080878
gemma4_e2b,chain_of_thought,one_shot,uncapped,approach,100,3.256580438881647,0.6701590354090355,0.595911976911977,0.5960302376815836,0.2376837355555597,0.12322236382605373,0.1914618025101309,0.4897748197527478,0.29325174859619874,0.4461784208338833,0.2547166183237523
gemma4_e2b,chain_of_thought,one_shot,uncapped,challenge,100,3.256580438881647,0.4806159951159951,0.4451309523809524,0.4151733544233542,0.23765899516263567,0.09085068823664277,0.17542783688949207,0.4220026765441394,0.226199582941474,0.37142590290099414,0.1959980660115021
gemma4_e2b,chain_of_thought,one_shot,uncapped,outcome,100,3.256580438881647,0.6501181318681318,0.6066839826839826,0.5924097014097012,0.25484566611565657,0.11398935457211991,0.19632993789815095,0.49672704879223367,0.26550581130613354,0.4284715699350929,0.23214163203694185
gemma4_e2b,chain_of_thought,one_shot,uncapped,union,100,3.256580438881647,0.6997166330457653,0.5867525176846753,0.6225913876281652,0.29339275985950464,0.12886758597825035,0.1881467704304578,0.4572351445534136,0.22956935690972696,0.3556033739881162,0.1674566035576586
gemma4_e2b,chain_of_thought,zero_shot,capped,approach,100,3.3331671920302326,0.6701666666666667,0.6039898989898987,0.611900258238493,0.23265083542336598,0.12517097444906997,0.185469834980035,0.4897748197527478,0.29325174859619874,0.4461784208338833,0.2607085858538482
